V1,V2,V3
-153.706176961603,62,1298
-153.639398998331,62,1026
-153.572621035058,62,1078
-153.505843071786,62,1502
-153.439065108514,62,1358
-153.372287145242,62,1071
-153.30550918197,62,654
-153.238731218698,62,1326
-153.171953255426,62,1051
-153.105175292154,62,801
-153.038397328881,62,1182
-152.971619365609,62,1317
-152.904841402337,62,1265
-152.838063439065,62,974
-152.771285475793,62,971
-152.704507512521,62,885
-152.637729549249,62,589
-152.570951585977,62,578
-152.504173622705,62,565
-152.437395659432,62,483
-152.37061769616,62,588
-152.303839732888,62,465
-152.237061769616,62,430
-152.170283806344,62,440
-152.103505843072,62,319
-152.0367278798,62,237
-151.969949916528,62,206
-151.903171953255,62,179
-151.836393989983,62,175
-151.769616026711,62,167
-151.702838063439,62,180
-151.636060100167,62,168
-151.569282136895,62,176
-151.502504173623,62,238
-151.435726210351,62,146
-151.368948247078,62,48
-151.302170283806,62,44
-151.235392320534,62,45
-151.168614357262,62,55
-151.10183639399,62,53
-151.035058430718,62,49
-150.968280467446,62,64
-150.901502504174,62,78
-150.834724540902,62,102
-150.767946577629,62,124
-150.701168614357,62,154
-150.634390651085,62,163
-150.567612687813,62,123
-150.500834724541,62,83
-150.434056761269,62,73
-150.367278797997,62,65
-150.300500834725,62,67
-150.233722871452,62,62
-150.16694490818,62,66
-150.100166944908,62,53
-150.033388981636,62,67
-149.966611018364,62,89
-149.899833055092,62,148
-149.83305509182,62,240
-149.766277128548,62,434
-149.699499165275,62,581
-149.632721202003,62,644
-149.565943238731,62,915
-149.499165275459,62,1108
-149.432387312187,62,1075
-149.365609348915,62,1124
-149.298831385643,62,850
-149.232053422371,62,847
-149.165275459098,62,1054
-149.098497495826,62,1266
-149.031719532554,62,1241
-148.964941569282,62,1661
-148.89816360601,62,1759
-148.831385642738,62,1852
-148.764607679466,62,1754
-148.697829716194,62,1445
-148.631051752922,62,1397
-148.564273789649,62,1681
-148.497495826377,62,1393
-148.430717863105,62,1415
-148.363939899833,62,1390
-148.297161936561,62,796
-148.230383973289,62,1424
-148.163606010017,62,1656
-148.096828046745,62,1581
-148.030050083472,62,1363
-147.9632721202,62,1378
-147.896494156928,62,1470
-147.829716193656,62,1380
-147.762938230384,62,1094
-147.696160267112,62,1201
-147.62938230384,62,1253
-147.562604340568,62,1132
-147.495826377295,62,1316
-147.429048414023,62,1274
-147.362270450751,62,1268
-147.295492487479,62,1178
-147.228714524207,62,1197
-147.161936560935,62,1034
-147.095158597663,62,949
-147.028380634391,62,844
-146.961602671119,62,751
-146.894824707846,62,733
-146.828046744574,62,726
-146.761268781302,62,707
-146.69449081803,62,689
