"","model","year","expected","Ecov"
"321","fit2",2012,329255.961714236,"SST"
"322","fit2",2013,548777.404463292,"SST"
"323","fit2",2014,475196.873817614,"SST"
"324","fit2",2015,1146145.47049839,"SST"
"325","fit2",2016,1242096.61048226,"SST"
"326","fit2",2017,608422.979261547,"SST"
"327","fit2",2018,498212.844658012,"SST"
"328","fit2",2019,496400.43001479,"SST"
"329","fit2",2020,286481.412719112,"SST"
"330","fit2",2021,452654.926520968,"SST"
"331","fit3",1992,626390.235855846,"SST"
"332","fit3",1993,492257.424836541,"SST"
"333","fit3",1994,548160.358954514,"SST"
"334","fit3",1995,551538.972516546,"SST"
"335","fit3",1996,585321.975652184,"SST"
"336","fit3",1997,549621.80755524,"SST"
"337","fit3",1998,476087.883490699,"SST"
"338","fit3",1999,330388.621146661,"SST"
"339","fit3",2000,310936.494400786,"SST"
"340","fit3",2001,242516.797726975,"SST"
"341","fit3",2002,232903.740678853,"SST"
"342","fit3",2003,318576.982349048,"SST"
"343","fit3",2004,314648.151527879,"SST"
"344","fit3",2005,309498.443547052,"SST"
"345","fit3",2006,234356.74268497,"SST"
"346","fit3",2007,161911.985784023,"SST"
"347","fit3",2008,158182.737334164,"SST"
"348","fit3",2009,176346.158460222,"SST"
"349","fit3",2010,354207.352636117,"SST"
"350","fit3",2011,382881.058050646,"SST"
"351","fit3",2012,315884.841299168,"SST"
"352","fit3",2013,625917.002927424,"SST"
"353","fit3",2014,558112.565123549,"SST"
"354","fit3",2015,874940.937539781,"SST"
"355","fit3",2016,872219.044020991,"SST"
"356","fit3",2017,1221016.39948308,"SST"
"357","fit3",2018,1161217.04752528,"SST"
"358","fit3",2019,931687.70303165,"SST"
"359","fit3",2020,471506.125510862,"SST"
"360","fit3",2021,518753.572590682,"SST"
"361","fit0",1992,625070.963425505,"noise1"
"362","fit0",1993,680705.245254387,"noise1"
"363","fit0",1994,713737.927762937,"noise1"
"364","fit0",1995,557449.26206353,"noise1"
"365","fit0",1996,491399.366734592,"noise1"
"366","fit0",1997,434999.515814906,"noise1"
"367","fit0",1998,351345.307030132,"noise1"
"368","fit0",1999,334928.657298919,"noise1"
"369","fit0",2000,314809.529608809,"noise1"
"370","fit0",2001,273670.089103693,"noise1"
"371","fit0",2002,277089.684489109,"noise1"
"372","fit0",2003,320931.862464844,"noise1"
"373","fit0",2004,352807.726131998,"noise1"
"374","fit0",2005,327892.753450708,"noise1"
"375","fit0",2006,307824.335616795,"noise1"
"376","fit0",2007,268701.596720091,"noise1"
"377","fit0",2008,313231.8044818,"noise1"
"378","fit0",2009,350634.447209032,"noise1"
"379","fit0",2010,520346.216948441,"noise1"
"380","fit0",2011,568537.658048699,"noise1"
"381","fit0",2012,518055.296919299,"noise1"
"382","fit0",2013,553128.079240722,"noise1"
"383","fit0",2014,415288.866800158,"noise1"
"384","fit0",2015,823106.329694326,"noise1"
"385","fit0",2016,859704.903638455,"noise1"
"386","fit0",2017,669842.694915097,"noise1"
"387","fit0",2018,471332.14384947,"noise1"
"388","fit0",2019,364931.648782077,"noise1"
"389","fit0",2020,333443.342107929,"noise1"
"390","fit0",2021,460540.981204165,"noise1"
"391","fit1",1992,632192.365572585,"noise1"
"392","fit1",1993,490941.534317357,"noise1"
"393","fit1",1994,532840.734876702,"noise1"
"394","fit1",1995,567065.471127497,"noise1"
"395","fit1",1996,580973.924162705,"noise1"
"396","fit1",1997,560482.703116202,"noise1"
"397","fit1",1998,464940.655856802,"noise1"
"398","fit1",1999,382395.642066673,"noise1"
"399","fit1",2000,319763.430486355,"noise1"
"400","fit1",2001,232580.898515973,"noise1"
"401","fit1",2002,245198.816554333,"noise1"
"402","fit1",2003,302432.462803474,"noise1"
"403","fit1",2004,322402.439168096,"noise1"
"404","fit1",2005,302180.651169177,"noise1"
